"","state_list"
"1","himachal pradesh"
"2","punjab"
"3","haryana"
"4","rajasthan"
"5","uttar pradesh"
"6","bihar"
"7","sikkim"
"8","nagaland"
"9","manipur"
"10","tripura"
"11","meghalaya"
"12","assam"
"13","west bengal"
"14","jharkhand"
"15","orissa"
"16","chhattisgarh"
"17","madhya pradesh"
"18","gujarat"
"19","maharashtra"
"20","andhra pradesh"
"21","karnataka"
"22","kerala"
"23","tamil nadu"
